27,-5,-34,20,-30,18,-3,6,-50,30,-18,35,34,32,30,-26,-29,-60,44,11,-30,40,20,-33,-16,-17,1,47,-25,-3,-12,27,-9,10,-33,18,13,-32,-54,-5,-30,13,69,16,46,-25,46,-5,-29,-43,-26,35,-23,-37,-20,22,-11,-2,-45,12,10,-8,-2,53,4,9,28,-36,-33,-3,60,7,36,-27,8,87,6,2,8,18,-26,-2,23,52
28,36,-29,-62,-20,-38,30,-27,2,61,26,15,-24,-46,-35,-24,6,12,-25,40,-30,-6,0,-34,25,8,-14,-22,33,-2,30,-33,-29,-45,-17,-25,13,-35,38,71,4,-59,-34,42,13,-60,-4,-56,41,-39,47,-19,41,43,19,-6,16,45,21,27,11,42,16,1,-46,27,-4,-41,-6,34,-42,41,-33,12,35,-7,-33,-18,44,32,-22,34,28,-21
35,10,-6,-43,-9,-23,-39,-14,24,42,45,45,-10,-22,44,0,15,-66,29,-37,30,-43,-37,39,50,33,-40,-44,10,-41,-46,61,24,23,-6,43,32,24,8,-20,-27,-29,-34,-28,43,26,-33,-11,17,-23,60,-7,38,-34,-41,2,-53,-31,28,20,3,20,29,36,-38,-23,-6,-32,-7,19,-10,38,8,24,-8,7,42,10,-21,-31,-4,-49,15,6
18,63,44,20,7,-40,-20,17,-23,3,-7,-19,28,-20,-17,-24,57,23,-31,29,-45,-36,37,19,21,30,24,29,27,47,-45,36,24,0,-12,55,-9,-62,64,16,-9,26,-59,-29,6,-60,55,2,-1,-34,-40,3,-48,19,-52,-20,-28,-26,-44,36,48,28,28,20,47,6,-10,-20,-5,2,22,11,28,-38,-13,36,53,-46,1,17,1,21,-16,-10
-38,4,-33,-26,30,-10,-34,-21,-20,23,12,-35,-30,-9,-10,24,-14,87,-41,-18,56,-17,20,0,4,6,-33,-27,11,37,-43,-28,-28,-22,29,-65,-1,80,-16,-26,-44,24,-49,3,-21,14,-46,23,-25,26,38,1,29,-4,43,-8,-3,-3,-35,19,9,-16,-13,14,-23,10,-57,-26,11,-59,27,-13,36,-15,-30,11,-25,0,29,-8,-39,-39,-42,-34
25,-78,-42,0,2,-2,-2,12,-24,-31,-35,-127,-47,-29,-8,-39,-51,71,-17,-3,-63,-35,-57,4,-13,-70,-21,4,29,48,61,-8,28,2,-46,57,2,0,38,-52,-40,11,-51,33,-22,25,-46,34,28,-48,23,47,-36,-1,-66,5,37,-8,-41,-10,-48,-23,-30,-17,38,-26,40,-46,27,24,-28,-40,-23,0,-30,-9,7,-9,-26,52,17,46,-23,-36
40,27,-25,21,-26,40,-48,37,4,-14,33,-21,44,-45,-36,-21,-55,-44,0,4,-36,-34,0,44,-35,-14,7,-16,-7,27,43,33,-44,-32,-29,5,-3,30,-39,-34,-30,33,26,-19,25,-53,-24,-24,9,-46,-47,4,39,6,55,9,24,-40,-36,-30,-41,-17,16,28,-44,-32,66,40,54,-62,62,-47,-39,24,28,22,-32,-47,4,38,-23,0,22,13
27,31,29,-10,-19,-16,-51,-20,38,-40,39,-19,14,46,-24,17,-11,5,-23,-3,-34,43,45,-38,31,-30,-17,-32,-27,30,-69,65,3,27,34,-50,-30,-46,36,46,30,-17,28,60,45,21,8,-40,-29,-7,-5,30,4,8,33,18,-23,41,4,-9,16,-1,60,28,-18,-29,1,13,-51,13,-61,-9,31,13,58,-28,52,-49,30,-16,-8,57,-44,-23
28,-3,5,65,-21,26,-15,-43,60,-22,41,46,-6,43,-32,41,30,-28,-36,11,17,41,1,45,23,13,36,29,-50,-12,41,-35,39,-4,24,17,2,-33,-2,-28,9,25,-12,-31,9,14,-21,11,-27,-43,5,-11,6,7,-8,9,-28,-5,1,30,8,-42,1,-30,3,48,-20,39,-29,43,-31,-5,27,-19,36,44,-21,-37,-37,44,3,-24,-2,48
-46,27,40,57,41,17,28,-6,-31,-44,-3,-23,-37,-52,11,-21,18,81,-27,1,33,15,-19,55,-45,14,-25,-12,15,-26,-28,-4,16,-41,16,-28,-42,1,-29,0,-13,-26,83,1,7,-34,-33,12,-23,-34,20,45,-52,11,-7,-18,-14,26,-29,-2,16,-35,9,5,19,-15,-38,59,0,37,50,3,45,-23,-44,-2,18,34,9,9,23,-53,-10,-8
